title,author,owner,language,target_audience,book_status,tags,cover,created,modified,synopsis,copyright,titlepage
"A Lady of QualityBeing a Most Curious, Hitherto Unknown History, as Related by Mr. Isaac Bickerstaff but Not Presented to the World of Fashion Through the Pages of The Tatler, and Now for the First Time Written Down","Burnett, Frances Hodgson, 1849-1924",3,English,1,1,,,,,,1,
The Hidden Masterpiece,"Balzac, Honoré de, 1799-1850",3,English,1,1,,,,,,1,
Adieu,"Balzac, Honoré de, 1799-1850",3,English,1,1,,,,,,1,
The Marriage Contract,"Balzac, Honoré de, 1799-1850",3,English,1,1,,,,,,1,
Men of Iron,"Pyle, Howard, 1853-1911",3,English,1,1,,,,,,1,
The Crystal Stopper,"Leblanc, Maurice, 1864-1941",3,English,1,1,,,,,,1,
The Last Days of Pompeii,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",3,English,1,1,,,,,,1,
The Lily of the Valley,"Balzac, Honoré de, 1799-1850",3,English,1,1,,,,,,1,
"Frank's Campaign; Or, The Farm and the Camp","Alger, Horatio, Jr., 1832-1899",3,English,1,1,,,,,,1,
